,k,score
0,2,0.26925511092429527
1,3,0.26609542881087556
2,4,0.26122897724228344
3,5,0.2354609882471044
4,6,0.24090309416308361
5,7,0.2684482960436737
6,8,0.2352599916690248
7,9,0.25560627120260215
8,10,0.25676928230794077
9,11,0.2690420833613908
10,12,0.27209950922439524
