,k,score
0,2,17.8898148504448
1,3,13.760808803748292
2,4,11.18043444224844
3,5,10.100693161858176
4,6,8.540284188665678
5,7,7.603289746436272
6,8,7.372119855151106
7,9,6.527439856317169
8,10,5.961975483785163
9,11,5.451140504761342
10,12,5.097444605873774
